[14/07/2016 17:24:15] insert into execucao (e_idsql , data_inicio) values (101,'14/07/2016 17:24:15');
[14/07/2016 17:24:15] Logs.java - registrarExecucao() - Execuçao N: 1
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 1 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 2 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 3 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 4 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 5 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 6 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 7 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 8 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 9 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 10 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 11 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 12 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 13 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 14 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 15 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 16 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 17 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 18 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 19 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 20 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 21 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 22 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 23 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 24 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 25 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 26 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 27 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 28 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 29 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 30 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 31 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 32 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 33 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 34 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 35 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 36 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 37 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 38 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 39 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 40 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 41 veses
